PROTEIN_ID	GENE_NAME	PUBMED_ID	dbSNP_ref
Q96QU6;B4E219;Q8WUL4;Q96LX5	ACCS		
Q4AC99	ACCSL		
P30153;Q13773;Q6ICQ3;Q96DH3	PPP2R1A		
P30154;A8MY67;B0YJ69;B4DGQ6;B4DK91;B4DWW5;F8W8G1;O75620;Q8NHV8	PPP2R1B		
P31937;Q546Z2;Q9UDN3	HIBADH		
P28221	HTR1D		
P28566;E1P503;Q9P1Y1	HTR1E		
P30939	HTR1F		
P05067;B2R5V1;B4DII8;D3DSD1;D3DSD2;D3DSD3;P09000;P78438;Q13764;Q13778;Q13793;Q16011;Q16014;Q16019;Q16020;Q6GSC0;Q8WZ99;Q9BT38;Q9UC33;Q9UCA9;Q9UCB6;Q9UCC8;Q9UCD1;Q9UQ58	APP		
Q7Z5M8;Q3KNR9;Q3KNS0;Q7Z5M6;Q7Z5M7;Q8N4D2	ABHD12B		
P45844;Q86SU8;Q96L76;Q9BXK6;Q9BXK7;Q9BXK8;Q9BXK9;Q9BXL0;Q9BXL1;Q9BXL2;Q9BXL3;Q9BXL4	ABCG1		
Q9UNQ0;A0A1W3;A8K1T5;O95374;Q4W5I3;Q53ZQ1;Q569L4;Q5YLG4;Q86V64;Q8IX16;Q96LD6;Q96TA8;Q9BY73;Q9NUS0	ABCG2		
Q9H172;A8K1B5;Q8WWH0;Q8WWH1;Q8WWH2	ABCG4		
Q8TB40;B4DDH7;Q9H9E0	ABHD4		
Q8WTS1;B2R9K0;Q9Y369	ABHD5		
Q9BV23;B2R7Y9;Q6ZMF7	ABHD6		
Q96I13;Q9HAE9	ABHD8		
Q9NUJ1;B7Z6A8;C9IZX5;D3DN63;Q8TCF9	ABHD10		
Q15057;A8K2V4;Q8N5Z8;Q9UQR3	ACAP2		
Q96P50;B1AMF5;Q5TA42;Q5TA43;Q86UT3;Q9BSR9;Q9C0E7	ACAP3		
O00400;B2R5Q2;D3DNK4	SLC33A1		
Q15822;A8KAX3;B4DK19;J3KMY9;Q9HAQ3	CHRNA2		
P08912;Q96RG7	CHRM5		
Q8TDX5;Q3B7X3;Q53SR5;Q96KY2	ACMSD		
Q99424;A6NF16;B2R8U5	ACOX2		
O15254;Q96AJ8	ACOX3		
P12814;B3V8S3;B4DHH3;B7TY16;Q1HE25;Q9BTN1	ACTN1		
Q96M93;A6NKN4;B7WPB0;D3DNX2;Q8IWG6;Q8NA06	ADAD1		
Q8NCV1;B2RCL6;Q8NA94	ADAD2		
O95622;B7Z8A6;Q7RTV7;Q8NFM3	ADCY5		
O43306;Q9NR75;Q9UDB0	ADCY6		
P51828;A0AVA6	ADCY7		
P40145	ADCY8		
O60503;A7E2V5;A7E2X2;D3DUD1;O60273;Q4ZHT9;Q4ZIR5;Q9BWT4;Q9UGP2	ADCY9		
Q96PN6;B4DZF0;F5GWS5;O95558;Q5R329;Q5R330;Q8WXV4;Q9NNX0	ADCY10		
P54922;B2R8H1;D3DN83	ADPRH		
Q9Y6Z5;B4DW86;Q8NB23	AFDN-DT		
P51825;B4DTU1;E9PBM3	AFF1		
