Gene name	Gene_freq	Total
DEFB130B	4	49097025
DEFB134	49	49097025
DEFB131B	41	49097025
DEFB129	161	49097025
DEFB128	94	49097025
DEFB130A	11	49097025
DEFB131A	85	49097025
DEFB135	54	49097025
DEFB132	113	49097025
DEFB133	64	49097025
TRIM66	678	49097025
TRIM64	47	49097025
TRIM67	818	49097025
TRIM61	350	49097025
TRIM63	307	49097025
TRIM65	257	49097025
TRIM62	383	49097025
TRIM64C	281	49097025
TRIM68	324	49097025
TRIM64B	233	49097025
OPCML	3575	49097025
OPN4	452	49097025
OPN1MW2	95	49097025
OPALIN	265	49097025
OPLAH	707	49097025
OPN1LW	270	49097025
OPHN1	1527	49097025
OPN1MW	30	49097025
OPN3	689	49097025
OPN1SW	216	49097025
IL12B	298	49097025
IL15RA	335	49097025
IL13RA1	531	49097025
IL15	560	49097025
IL13RA2	410	49097025
IL16	1384	49097025
IL12RB1	690	49097025
IL12RB2	798	49097025
IL13	109	49097025
IL12A	211	49097025
BCL2L1	380	49097025
BCL11A	1444	49097025
BCL2L11	476	49097025
BCL2L12	311	49097025
BCL11B	1369	49097025
BCL2A1	198	49097025
BCL2L13	603	49097025
BCL2	1259	49097025
BCL10	305	49097025
BCL2L10	141	49097025
NDUFB4	131	49097025
NDUFAF7	276	49097025
NDUFB2	286	49097025
NDUFAF6	955	49097025
NDUFB10	121	49097025
NDUFB1	113	49097025
NDUFB3	118	49097025
NDUFB11	122	49097025
NDUFAF8	36	49097025
NDUFB5	289	49097025
APBB1	508	49097025
APBB2	1587	49097025
APC	10598	49097025
APBB3	321	49097025
APCDD1L	661	49097025
APCDD1	571	49097025
APC2	668	49097025
APBB1IP	1325	49097025
APBA3	289	49097025
APCS	290	49097025
DCX	1082	49097025
DCUN1D2	329	49097025
DCUN1D3	362	49097025
DCTPP1	95	49097025
DCXR	117	49097025
DCTN6	214	49097025
DCUN1D4	537	49097025
DCUN1D5	236	49097025
DCTN5	275	49097025
DCUN1D1	370	49097025
GALT	216	49097025
GANAB	596	49097025
GANC	745	49097025
GAPDH	204	49097025
GAP43	885	49097025
GAPDHS	338	49097025
GAMT	158	49097025
GAPT	191	49097025
GAN	536	49097025
GALR3	110	49097025
TMEM205	121	49097025
TMEM209	416	49097025
TMEM210	41	49097025
TMEM201	379	49097025
TMEM203	68	49097025
TMEM208	97	49097025
TMEM204	269	49097025
TMEM202	275	49097025
TMEM206	425	49097025
TMEM207	273	49097025
AL645941.2	284	49097025
AL590132.1	1915	49097025
AL662899.2	246	49097025
AL512428.1	110	49097025
AL603832.3	216	49097025
AL645922.1	743	49097025
AL662820.1	15	49097025
AL592490.1	845	49097025
AL662899.1	610	49097025
AL662884.4	112	49097025
U2AF1	903	49097025
TYW1B	1504	49097025
TYW3	320	49097025
U2AF1L4	185	49097025
UAP1L1	292	49097025
TYW5	256	49097025
U2AF2	474	49097025
UAP1	440	49097025
UACA	918	49097025
U2SURP	757	49097025
STPG4	415	49097025
STRA6	577	49097025
STRADB	340	49097025
STRIP2	645	49097025
STRADA	384	49097025
STRC	415	49097025
STRAP	276	49097025
STRBP	787	49097025
STRIP1	470	49097025
STRA8	419	49097025
TEX44	217	49097025
TEX46	36	49097025
TEX43	94	49097025
TEX49	199	49097025
TEX47	298	49097025
TEX48	100	49097025
TEX45	304	49097025
TEX38	78	49097025
TEX37	233	49097025
TEX50	36	49097025
C19orf71	149	49097025
C19orf73	87	49097025
C19orf57	438	49097025
C19orf84	70	49097025
C19orf70	102	49097025
C19orf81	113	49097025
C19orf67	74	49097025
C19orf85	12	49097025
C19orf54	227	49097025
C19orf66	257	49097025
COL9A3	767	49097025
COL9A2	569	49097025
COL7A1	1720	49097025
COLCA2	123	49097025
COL6A6	2115	49097025
COL8A1	1464	49097025
COLEC10	517	49097025
COL8A2	470	49097025
COL9A1	1408	49097025
COL6A5	2150	49097025
DDX3X	860	49097025
DDX39A	242	49097025
DDX23	510	49097025
DDX28	200	49097025
DDX25	407	49097025
DDX31	767	49097025
DDX27	654	49097025
DDX24	454	49097025
DDX39B	368	49097025
DDX21	410	49097025
TMEM185B	99	49097025
TMEM184C	603	49097025
TMEM187	220	49097025
TMEM184B	420	49097025
TMEM184A	433	49097025
TMEM189	335	49097025
TMEM183A	247	49097025
TMEM185A	244	49097025
TMEM189-UBE2V1	593	49097025
TMEM186	128	49097025
TREM1	336	49097025
TRDN	2774	49097025
TRAPPC8	1009	49097025
TRDMT1	604	49097025
TRAPPC9	2875	49097025
TREH	317	49097025
TREM2	214	49097025
TRARG1	296	49097025
TRAT1	565	49097025
TRDV1	19	49097025
CX3CR1	386	49097025
CX3CL1	269	49097025
CXADR	571	49097025
CXCL10	118	49097025
CXCL12	399	49097025
CWH43	949	49097025
CWF19L2	1020	49097025
CXCL1	82	49097025
CXCL13	497	49097025
CXCL11	105	49097025
ZNF596	408	49097025
ZNF594	458	49097025
ZNF595	1032	49097025
ZNF585B	652	49097025
ZNF587	414	49097025
ZNF586	646	49097025
ZNF589	541	49097025
ZNF592	782	49097025
ZNF587B	228	49097025
ZNF593	54	49097025
RWDD3	202	49097025
RWDD4	221	49097025
RXFP1	2024	49097025
RUVBL2	460	49097025
RUVBL1	803	49097025
RXFP2	953	49097025
RWDD1	246	49097025
RWDD2A	118	49097025
RUSC2	630	49097025
RWDD2B	217	49097025
CD44	705	49097025
CD48	475	49097025
CD46	424	49097025
CD4	481	49097025
CD40	258	49097025
CD47	406	49097025
CD40LG	270	49097025
CD53	376	49097025
CD52	78	49097025
CD5	409	49097025
TMEM116	467	49097025
TMEM109	199	49097025
TMEM11	199	49097025
TMEM114	153	49097025
TMEM107	204	49097025
TMEM108	1920	49097025
TMEM117	1979	49097025
TMEM110-MUSTN1	460	49097025
TMEM119	338	49097025
TMEM115	143	49097025
ORC4	661	49097025
ORMDL3	133	49097025
ORM1	236	49097025
ORC5	637	49097025
OS9	470	49097025
ORC6	176	49097025
ORMDL1	152	49097025
ORM2	167	49097025
ORMDL2	119	49097025
OSBP	513	49097025
FBXL19	386	49097025
FBXL12	267	49097025
FBXL13	1663	49097025
FBXL16	323	49097025
FBXL17	1856	49097025
FBXL18	601	49097025
FBRSL1	805	49097025
FBXL15	120	49097025
FBRS	377	49097025
FBXL14	328	49097025
CD209	635	49097025
CD244	514	49097025
CD226	739	49097025
CD276	434	49097025
CD22	758	49097025
CD274	250	49097025
CD248	404	49097025
CD28	403	49097025
CD27	191	49097025
CD247	688	49097025
PPWD1	351	49097025
PQLC2	283	49097025
PQLC2L	961	49097025
PPT1	310	49097025
PPT2	207	49097025
PPTC7	387	49097025
PQLC1	407	49097025
PQBP1	203	49097025
PPRC1	752	49097025
PPY	73	49097025
FLNB	1888	49097025
FLRT2	1869	49097025
FLNA	1411	49097025
FLT1	2435	49097025
FLII	605	49097025
FLRT3	441	49097025
FLOT2	334	49097025
FLNC	1927	49097025
FLOT1	257	49097025
FLRT1	469	49097025
EFCAB10	265	49097025
EFCAB11	630	49097025
EEPD1	908	49097025
EEFSEC	1191	49097025
EFCAB12	471	49097025
EFCAB1	382	49097025
EFCAB14	505	49097025
EFCAB13	904	49097025
EFCAB2	861	49097025
EFCAB3	612	49097025
RMND1	381	49097025
RMDN3	311	49097025
RMDN2	894	49097025
RMI2	1229	49097025
RMI1	333	49097025
RMDN1	442	49097025
RLN2	157	49097025
RLN3	104	49097025
RMC1	462	49097025
RLN1	128	49097025
P2RX2	306	49097025
P2RX4	322	49097025
P2RX5	406	49097025
OXT	72	49097025
P2RX6	309	49097025
P2RX3	516	49097025
P2RX7	617	49097025
P2RY1	278	49097025
OXTR	298	49097025
P2RX1	411	49097025
PSG5	602	49097025
PSG7	569	49097025
PSG8	1491	49097025
PSG9	858	49097025
PSIP1	536	49097025
PSG6	664	49097025
PSG4	566	49097025
PSKH1	340	49097025
PSG3	613	49097025
PSG2	609	49097025
OTUB2	216	49097025
OTUD7A	1188	49097025
OTUD5	360	49097025
OTUD6B	277	49097025
OTUD7B	802	49097025
OTUD4	703	49097025
OTUD6A	343	49097025
OTUD3	252	49097025
OTUD1	111	49097025
OTULIN	328	49097025
GPT2	460	49097025
GPSM1	533	49097025
GPSM2	495	49097025
GPRIN3	756	49097025
GPS1	287	49097025
GPSM3	167	49097025
GPS2	289	49097025
GPRIN2	582	49097025
GPT	296	49097025
GPRIN1	556	49097025
SMIM30	24	49097025
SMIM29	81	49097025
SMIM26	31	49097025
SMIM27	144	49097025
SMIM28	42	49097025
SMIM24	106	49097025
SMIM31	328	49097025
SMIM32	30	49097025
SMIM3	121	49097025
SMIM33	21	49097025
CAPN3	671	49097025
CAPN5	788	49097025
CAPN14	604	49097025
CAPN8	612	49097025
CAPN6	659	49097025
CAPN12	656	49097025
CAPN15	706	49097025
CAPN7	514	49097025
CAPN13	970	49097025
CAPN2	732	49097025
ALPL	706	49097025
ALS2	1061	49097025
ALS2CR12	520	49097025
ALX1	455	49097025
ALPK3	1115	49097025
ALPK1	1182	49097025
ALX3	202	49097025
ALPK2	1879	49097025
ALS2CL	612	49097025
ALPP	521	49097025
GRXCR2	565	49097025
GRPEL2	138	49097025
GRTP1	483	49097025
GRPR	372	49097025
GRSF1	325	49097025
GSAP	863	49097025
GRWD1	326	49097025
GRP	185	49097025
GRXCR1	1430	49097025
GRPEL1	130	49097025
DNAJC2	478	49097025
DNAJC22	209	49097025
DNAJC19	138	49097025
DNAJC21	448	49097025
DNAJC17	452	49097025
DNAJC14	330	49097025
DNAJC16	561	49097025
DNAJC13	1364	49097025
DNAJC15	379	49097025
DNAJC18	302	49097025
ELOA2	718	49097025
ELOF1	124	49097025
ELOC	202	49097025
ELOA3	281	49097025
ELOVL1	149	49097025
ELOA3B	5	49097025
ELOB	130	49097025
ELOA3C	87	49097025
ELOA3D	42	49097025
ELOVL2	565	49097025
MEF2A	916	49097025
MED29	159	49097025
MED31	156	49097025
MED9	140	49097025
MED8	175	49097025
MED6	210	49097025
MED30	258	49097025
MED4	234	49097025
MED7	109	49097025
MEDAG	326	49097025
SOHLH1	409	49097025
SOD2	936	49097025
SOCS6	495	49097025
SOGA1	1072	49097025
SOCS4	316	49097025
SOCS5	514	49097025
SOCS3	173	49097025
SOGA3	929	49097025
SOD1	153	49097025
SOD3	166	49097025
KRTAP27-1	217	49097025
KRTAP2-4	65	49097025
KRTAP29-1	66	49097025
KRTAP23-1	57	49097025
KRTAP3-2	106	49097025
KRTAP26-1	271	49097025
KRTAP25-1	82	49097025
KRTAP3-3	101	49097025
KRTAP24-1	258	49097025
KRTAP3-1	68	49097025
SENP5	614	49097025
SEMA6D	2884	49097025
SENP3	258	49097025
SENP1	664	49097025
SEMG1	425	49097025
SEMA7A	478	49097025
SEMA6C	534	49097025
SENP2	556	49097025
SEMA6B	485	49097025
SEMG2	455	49097025
PLAGL1	774	49097025
PLAUR	331	49097025
PLAC8	277	49097025
PLAU	339	49097025
PLAG1	742	49097025
PLAT	594	49097025
PLAC9	126	49097025
PLAC8L1	182	49097025
PLB1	1540	49097025
PLAGL2	342	49097025
AC022414.1	1732	49097025
AC022167.5	36	49097025
AC023509.3	782	49097025
AC019117.3	1122	49097025
AC021097.2	44	49097025
AC023055.1	631	49097025
AC020909.1	411	49097025
AC018755.2	901	49097025
AC021072.1	5	49097025
AC022506.1	27	49097025
ARF6	130	49097025
ARFGAP3	540	49097025
ARF3	179	49097025
ARFGAP1	441	49097025
ARFGAP2	342	49097025
ARF4	217	49097025
ARF5	147	49097025
ARFGEF3	1662	49097025
ARFGEF2	1346	49097025
ARFGEF1	1484	49097025
PGLYRP4	406	49097025
PGM3	445	49097025
PGPEP1	224	49097025
PGR	1486	49097025
PGM5	1290	49097025
PGM1	601	49097025
PGM2L1	594	49097025
PGM2	427	49097025
PGP	101	49097025
PGPEP1L	397	49097025
PAGE5	177	49097025
PAICS	281	49097025
PAGE2	92	49097025
PAIP1	365	49097025
PAIP2	196	49097025
PAGE3	144	49097025
PAGR1	119	49097025
PAGE2B	97	49097025
PAH	1053	49097025
PAGE4	69	49097025
CNMD	461	49097025
CNIH4	198	49097025
CNKSR2	1745	49097025
CNKSR3	848	49097025
CNN2	298	49097025
CNKSR1	516	49097025
CNIH2	123	49097025
CNN1	330	49097025
CNN3	287	49097025
CNIH3	807	49097025
LIMD2	102	49097025
LIMS1	805	49097025
LIMK1	598	49097025
LIMK2	720	49097025
LIME1	138	49097025
LIMA1	780	49097025
LIMS2	717	49097025
LIMCH1	2061	49097025
LIMD1	624	49097025
LIM2	269	49097025
CBLN3	166	49097025
CBR4	202	49097025
CBS	557	49097025
CBWD1	398	49097025
CBR1	203	49097025
CBLN2	1108	49097025
CBLN4	381	49097025
CBR3	176	49097025
CBLN1	180	49097025
CBLL2	326	49097025
KRTAP22-2	41	49097025
KRTAP2-1	45	49097025
KRTAP2-2	76	49097025
KRTAP20-4	23	49097025
KRTAP21-1	88	49097025
KRTAP21-3	31	49097025
KRTAP21-2	90	49097025
KRTAP20-3	26	49097025
KRTAP22-1	62	49097025
KRTAP2-3	54	49097025
AC004691.2	676	49097025
AC004223.3	1010	49097025
AC003002.3	571	49097025
AC004593.3	1696	49097025
AC004080.3	488	49097025
AC004076.1	846	49097025
AC004233.2	99	49097025
AC004754.1	528	49097025
AC004832.3	329	49097025
AC003006.1	1202	49097025
ZNF711	654	49097025
ZNF709	465	49097025
ZNF706	198	49097025
ZNF707	298	49097025
ZNF713	530	49097025
ZNF708	605	49097025
ZNF705E	86	49097025
ZNF710	662	49097025
ZNF705G	312	49097025
ZNF71	703	49097025
RPL34	112	49097025
RPL31	326	49097025
RPL37	189	49097025
RPL36A	120	49097025
RPL35	99	49097025
RPL35A	94	49097025
RPL32	118	49097025
RPL36	351	49097025
RPL36A-HNRNPH2	398	49097025
RPL36AL	63	49097025
ARMCX6	107	49097025
ARMC7	171	49097025
ARMCX2	398	49097025
ARMC9	1033	49097025
ARMCX4	339	49097025
ARMC8	828	49097025
ARMCX5	251	49097025
ARMCX1	288	49097025
ARMH1	393	49097025
ARMCX3	246	49097025
E2F8	547	49097025
