KEGG Gene ID	KEGG Pathway ID
10	hsa00232|hsa00983|hsa01100|hsa05204
100	hsa00230|hsa01100|hsa01232|hsa05340
1000	hsa04514|hsa05412
10000	hsa01521|hsa01522|hsa01524|hsa04010|hsa04012|hsa04014|hsa04015|hsa04022|hsa04024|hsa04062|hsa04066|hsa04068|hsa04071|hsa04072|hsa04140|hsa04150|hsa04151|hsa04152|hsa04210|hsa04211|hsa04213|hsa04218|hsa04261|hsa04370|hsa04371|hsa04380|hsa04510|hsa04550|hsa04611|hsa04613|hsa04620|hsa04625|hsa04630|hsa04660|hsa04662|hsa04664|hsa04666|hsa04668|hsa04722|hsa04725|hsa04728|hsa04910|hsa04914|hsa04915|hsa04917|hsa04919|hsa04920|hsa04922|hsa04923|hsa04926|hsa04929|hsa04931|hsa04932|hsa04933|hsa04935|hsa04936|hsa04973|hsa05010|hsa05017|hsa05131|hsa05132|hsa05135|hsa05142|hsa05145|hsa05152|hsa05160|hsa05161|hsa05162|hsa05163|hsa05164|hsa05165|hsa05166|hsa05167|hsa05168|hsa05169|hsa05170|hsa05200|hsa05205|hsa05207|hsa05208|hsa05210|hsa05211|hsa05212|hsa05213|hsa05214|hsa05215|hsa05218|hsa05220|hsa05221|hsa05222|hsa05223|hsa05224|hsa05225|hsa05226|hsa05230|hsa05231|hsa05235|hsa05415|hsa05417|hsa05418
100008587	hsa03008|hsa03010
10005	hsa00120|hsa01100|hsa04146
10006	hsa05130|hsa05132
10007	hsa00520|hsa01100
10008	hsa04974
1001	hsa04514
10010	hsa04140|hsa04621|hsa04622|hsa05014|hsa05022|hsa05417
100101267	hsa03013|hsa05014
100129543	hsa05168
100129842	hsa05168
10013	hsa04613|hsa05014|hsa05034|hsa05203
100131017	hsa05168
100131827	hsa05168
100132074	hsa04068|hsa05131
100132285	hsa04612|hsa04650
100132463	hsa04514|hsa04530|hsa04670|hsa05130|hsa05160
100133941	hsa04640
100134444	hsa04725|hsa04921
100137049	hsa00564|hsa00565|hsa00590|hsa00591|hsa00592|hsa01100|hsa04010|hsa04014|hsa04072|hsa04217|hsa04270|hsa04370|hsa04611|hsa04664|hsa04666|hsa04724|hsa04726|hsa04730|hsa04750|hsa04912|hsa04913|hsa04921|hsa05231
10014	hsa04371|hsa04613|hsa05034|hsa05203|hsa05206
10015	hsa03250|hsa04144
100169751	hsa03008|hsa03010
100169753	hsa03008|hsa03010
100169754	hsa03008|hsa03010
100169755	hsa03008|hsa03010
100169756	hsa03008|hsa03010
100169757	hsa03008|hsa03010
100169758	hsa03008|hsa03010
100169759	hsa03008|hsa03010
100169760	hsa03008|hsa03010
100169761	hsa03008|hsa03010
100169762	hsa03008|hsa03010
100169763	hsa03008|hsa03010
100169764	hsa03008|hsa03010
100169765	hsa03008|hsa03010
100169766	hsa03008|hsa03010
100169767	hsa03008|hsa03010
100169768	hsa03008|hsa03010
100169851	hsa04080
10018	hsa01521|hsa04068|hsa04151|hsa04210|hsa04215|hsa04932|hsa05169|hsa05200|hsa05206|hsa05210
10019	hsa04722
1002	hsa04514
10020	hsa00520|hsa01100|hsa01250
10021	hsa04024|hsa04742
10022	hsa04080|hsa04926
10023	hsa04310|hsa05010|hsa05022|hsa05200|hsa05224|hsa05225|hsa05226
10025	hsa04919
10026	hsa00563|hsa01100
100271849	hsa04022|hsa04371
100271927	hsa04014
100287171	hsa04144
100287226	hsa05168
100288814	hsa04514|hsa04530|hsa04670|hsa05130|hsa05160
100289462	hsa04621|hsa04657|hsa05150
100289635	hsa05168
100289678	hsa05168
1003	hsa04514|hsa04670|hsa05418
100302238	hsa05206
100302282	hsa05206
100310812	hsa04114|hsa04914
10038	hsa03410|hsa04210
10039	hsa03410|hsa04210
100500809	hsa05206
100505767	hsa04114|hsa04914
100506013	hsa04080|hsa04371
100506658	hsa04514|hsa04530|hsa04670|hsa05130|hsa05160
100506742	hsa04141|hsa04210|hsa04621|hsa05010|hsa05014|hsa05020|hsa05022|hsa05161
100507436	hsa04650|hsa05167
100509620	hsa03320|hsa04923
100526739	hsa03460
100526760	hsa00220|hsa01100|hsa01210|hsa01230
100526767	hsa04144|hsa04217
100526794	hsa00230|hsa00240|hsa00760|hsa01100|hsa01232
100526842	hsa03010|hsa05171
100528021	hsa00670|hsa01100
100528030	hsa00512|hsa00514|hsa01100
100528032	hsa04650|hsa05144
100529063	hsa03015|hsa05164
100529097	hsa03010|hsa05171
100529215	hsa05168
100529239	hsa03010|hsa05171
100529261	hsa00900
10053	hsa04142|hsa05170
100532726	hsa00190|hsa01100|hsa04714|hsa04723|hsa04932|hsa05010|hsa05012|hsa05014|hsa05016|hsa05020|hsa05022|hsa05208|hsa05415
100532731	hsa04550|hsa05202|hsa05206
100532736	hsa04350
100533105	hsa04068|hsa04151
100533467	hsa03420
100534599	hsa03040
10054	hsa04120
10055	hsa04120
10056	hsa00970
10057	hsa01523|hsa02010
10058	hsa02010
10059	hsa04217|hsa04621|hsa04668
10060	hsa02010
10061	hsa05130
100616173	hsa05206
10062	hsa03320|hsa04931|hsa04932|hsa05160
10063	hsa00190|hsa01100|hsa04714
100653049	hsa04915|hsa05150
10073	hsa03013
10075	hsa04120
10084	hsa03040
100861540	hsa00140|hsa00830|hsa01100|hsa05204
10090	hsa00532
100913187	hsa03250|hsa05170
10092	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10093	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10094	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10095	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10096	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10097	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
100996746	hsa04114|hsa04914
100996758	hsa04080
10105	hsa04020|hsa04022|hsa04613|hsa05010|hsa05012|hsa05016|hsa05017|hsa05020|hsa05022|hsa05145|hsa05208|hsa05415
101060200	hsa05168
10109	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10110	hsa04068|hsa04151
10111	hsa03440|hsa03450|hsa04218
10113	hsa04141
10114	hsa04218
10120	hsa05014|hsa05016|hsa05022|hsa05132
10121	hsa05014|hsa05016|hsa05022|hsa05132
10125	hsa04010|hsa04014|hsa04611|hsa04660|hsa05200|hsa05235
10126	hsa05014|hsa05016|hsa05022
1013	hsa04514
10130	hsa04141
10131	hsa05012|hsa05022
10133	hsa04137|hsa05014|hsa05022
10134	hsa04141|hsa05165
10135	hsa00760|hsa01100|hsa04621
10136	hsa04972|hsa04974
10140	hsa03018
10148	hsa04060|hsa04659
1015	hsa05226
10152	hsa04810
10154	hsa04360
10156	hsa04014
10157	hsa00310|hsa01100
10159	hsa04614
10161	hsa04072|hsa04080|hsa04151|hsa05200
10162	hsa00564|hsa04216
10163	hsa04520|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05135|hsa05231
10164	hsa00533
1017	hsa04068|hsa04110|hsa04114|hsa04115|hsa04151|hsa04218|hsa04914|hsa04934|hsa05160|hsa05161|hsa05162|hsa05165|hsa05166|hsa05169|hsa05200|hsa05203|hsa05215|hsa05222|hsa05226
10170	hsa00830|hsa01100
10171	hsa03008
10172	hsa05168
10189	hsa03013|hsa03015|hsa03040|hsa05014|hsa05168
1019	hsa01522|hsa04110|hsa04115|hsa04151|hsa04218|hsa04530|hsa04660|hsa04933|hsa04934|hsa05160|hsa05162|hsa05163|hsa05164|hsa05165|hsa05166|hsa05167|hsa05169|hsa05200|hsa05203|hsa05212|hsa05214|hsa05218|hsa05219|hsa05220|hsa05222|hsa05223|hsa05224|hsa05225
101929601	hsa03008
101929627	hsa03008
10193	hsa04144
10195	hsa00510|hsa00513|hsa01100
101954264	hsa03040
101954268	hsa03040
101954271	hsa03040
101954273	hsa03040
10197	hsa03050|hsa04612|hsa05160
10199	hsa03008
102	hsa05010|hsa05120
1020	hsa04360|hsa05010|hsa05022|hsa05030
10200	hsa03018
10201	hsa00230|hsa00240|hsa00983|hsa01100|hsa01232|hsa01240
10203	hsa04080|hsa04270
10207	hsa04390|hsa04530|hsa05165
1021	hsa04110|hsa04115|hsa04151|hsa04218|hsa04934|hsa05160|hsa05162|hsa05163|hsa05164|hsa05165|hsa05167|hsa05169|hsa05200|hsa05203|hsa05206|hsa05212|hsa05214|hsa05218|hsa05220|hsa05222|hsa05223|hsa05224|hsa05225
10211	hsa04910
10213	hsa03050|hsa05010|hsa05012|hsa05014|hsa05016|hsa05017|hsa05020|hsa05022|hsa05169
102157402	hsa00230|hsa01100|hsa01232|hsa01240|hsa03008
1022	hsa03022|hsa03420|hsa04110
10220	hsa04060
10224	hsa05168
10228	hsa04130
10229	hsa00130|hsa01100|hsa01240
10231	hsa04919
10235	hsa04010|hsa04014|hsa04015|hsa04062|hsa04611|hsa05200
10239	hsa04142
10241	hsa04137|hsa05131|hsa05164
10242	hsa04022|hsa04270|hsa04911
10243	hsa00790|hsa01100|hsa01240|hsa04727
10248	hsa03008
10249	hsa01100
1025	hsa03250|hsa05202
10250	hsa03013|hsa03015
10253	hsa05206
10254	hsa04144|hsa04630
10257	hsa01523|hsa02010|hsa04024|hsa04976
1026	hsa01522|hsa01524|hsa04012|hsa04066|hsa04068|hsa04110|hsa04115|hsa04151|hsa04218|hsa04630|hsa04921|hsa04928|hsa04934|hsa05160|hsa05161|hsa05163|hsa05165|hsa05166|hsa05167|hsa05169|hsa05200|hsa05202|hsa05203|hsa05205|hsa05206|hsa05210|hsa05211|hsa05212|hsa05213|hsa05214|hsa05215|hsa05216|hsa05217|hsa05218|hsa05219|hsa05220|hsa05222|hsa05223|hsa05224|hsa05225|hsa05226
10262	hsa03040
10266	hsa04270
10267	hsa04270
10268	hsa04270
10269	hsa00900
1027	hsa01522|hsa04012|hsa04066|hsa04068|hsa04110|hsa04151|hsa04933|hsa04934|hsa05162|hsa05165|hsa05169|hsa05200|hsa05202|hsa05203|hsa05206|hsa05215|hsa05220|hsa05222|hsa05226
102723407	hsa04020|hsa04064|hsa04072|hsa04145|hsa04151|hsa04613|hsa04640|hsa04650|hsa04662|hsa04664|hsa04666|hsa04672|hsa05130|hsa05135|hsa05140|hsa05143|hsa05146|hsa05150|hsa05152|hsa05169|hsa05171|hsa05202|hsa05310|hsa05320|hsa05322|hsa05323|hsa05330|hsa05340|hsa05414|hsa05416
102723475	hsa04261
102723532	hsa04740
102723555	hsa04114|hsa04914
102723796	hsa04310|hsa04330
102723849	hsa04114|hsa04914
102723996	hsa04514|hsa04672
102724334	hsa04613|hsa05034|hsa05203|hsa05322
102724428	hsa04922
102724560	hsa00260|hsa00270|hsa01100|hsa01230
102724594	hsa03040|hsa05131
102724652	hsa04141
102725035	hsa04380|hsa04662
10273	hsa04120|hsa04141
10274	hsa04110
10277	hsa04120|hsa04141
1028	hsa04110
