gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
CD300E						
C1orf43						
GTF2IRD1						
RPL30						
DESI2						
FBXL6						
BACH1						
TENT5C	TSG					
KIAA1715						
MAP7D3						
IPO7						
GLIS2						
ORMDL3						
VDR						TSG
PRRC2C						
CD151						
UBE2NL						
CH25H						
HELQ						
TFB1M						
FAM208B						
MECP2						
FAM114A2						
PINX1						TSG
CCZ1B						
DOCK4						
WDR88						
SH3RF2						
JPH2						
SPINK9						
TTC18						
BCCIP						
KIF2A						
ABCC3						
INO80B						
EPC2						
ARID4A		TSG				
HIST1H2AB						
RCN3						
NRAS	ONC	ONC	ONC	ONC	ONC	
HES7						
TLE3						
L3MBTL4						TSG
OR5AN1						
NUTM2B	ONC					
DDTL						
SDE2						
AMER1	TSG	TSG		PSSIBLE_TSG		TSG
P2RX2						
XKR7						
GEMIN4						
ITIH2						
RSPH10B2						
SMN1						
SCARF2						
P3H3						
DPEP3						
IL17RB						
BBS12						
MTSS1						TSG
SOX4					ONC	
MEN1	TSG	TSG	TSG			
MASP2						
CSNK2A2					ONC	
TMIGD1						
CCDC112						
FERMT3						
ZNF550						
HMSD						
RPS4Y1						
PRDM13					ONC	
TMEM69						
CASKIN2						
PARVB						
ISG15						TSG
ARPC3						
TRIAP1						
CCNL1					ONC	
UQCRC2						
ST6GAL1						
TICAM1						
CCL8						
ESCO2		TSG				
GPKOW						
LMNTD1						TSG
UBE2S						
KCNA5						
TRA	ONC					
TRABD						
ZNF69						
VANGL2						
LSM14B						
OR52R1						
ZSCAN29						
ATP5IF1						
HPRT1						
COG1						
AKAP9	ONC				ONC	
ANAPC16						
NFATC2	ONC					TSG
TKT						
RASSF3						TSG
PRR29						
ELK3					ONC	
KLRK1						
OR56A5						
B3GNT2						
EXOC1						
TRIO					ONC	
ACTN3						
TMEM105						
DYRK4						
C12orf60						
ATG12						
PIM1	ONC				ONC	
RNF2						
HECW1						
YME1L1						
LAX1						
ALYREF						
MAGEE2						
NCOR2	TSG					
DQX1						
FBXO7						
VAMP7						
RCC2						
LHFP						
PPIP5K2						
RTP4						
CLDN22						
TPK1						
ASXL3						
ZNF322						
ZSWIM8						
ECHS1					ONC	
LRBA						
RLN1						
CD3G						
TRIM52						
EFNB1						
TET2	TSG	TSG	TSG			TSG
ANKRD2						
FOXJ3						
CCDC50						
CCDC23						
MRPL19						
EPB41L1						
CCNJL						
TMED2						
UBA6						
ZIC1						TSG
LYNX1						
PON3						
RPAP3						
IER5						
LRRC25						
TBXT						
ATP2A1						
BCL2L2						
TMEM234						
OR5L2						
SETD1A		ONC				
NAT14						
PPM1M						
KLK6						TSG
PGLYRP3						
MAGEA5						
NFYB						
RNASE8						
TAS2R19						
MSTO1						
CCDC12						
COL6A2						
JUND					ONC	
CASC3						
ASB4						
CREB5						
BOP1						
MDS2	ONC					
DHRS4L1						
EIF3K						
EMR3						
FAM50B						
MEX3B						
C15orf39						
LLGL2						
WDR92						
CIDEA						
MAP3K15						
SPATA46						
GOLGA6L10						
ZFAND2A						
NPRL3						
FBXO21						
SHISA6						
OR6C75						
GRM7						
IL23A						
FBLN7						
SLC6A3						
POGZ						
ERICH3						
PGBD4						
BIRC5					ONC	
BRCA1	TSG	TSG	TSG	TSG		TSG
TLX3	ONC	ONC				
ECE2						
MSANTD1						
NDST3						
KCNV2						
KRTAP2-4						
MC5R						
FDPS					ONC	
JARID2		TSG/ONC				
ITK	ONC				ONC	
CDK5RAP3						
PHB2						
LMAN1						
PNLDC1						
TMEM173						
VGLL2						
LRCH2						
ACTG2						
LHB						
ALKBH1						
OR2A12						
ANGPTL1						
KLHL33						
B3GNTL1						
THBD						TSG
ZNF253						
ESS2						
CYB5B						
PCSK5						
P2RX4						
UHRF2						TSG
PLOD3						
PDE7A						
PHKA1						
EFEMP2						
MAP3K12						
EMC7						
C19orf40						
STMN4						
PRR23B						
CRHBP						
STC2						
SLC6A9						
SZT2						
DVL3						
DAZ4						
CASQ2						
TMEM51						
MRPS15						
STK26						
FH	TSG	TSG				TSG
LMO1	ONC	ONC			ONC	
CLDN4						
PIK3CG		ONC		PSSIBLE_ONCOGENE		
TTC24						
PIK3R5						
